latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
24.800003,92.350006,NaN,0,GMT,GMT

time,river_discharge (m³/s)
2017-03-05,47.64
2017-03-06,48.32
2017-03-07,47.64
2017-03-08,47.08
2017-03-09,46.53
2017-03-10,47.19
2017-03-11,54.72
2017-03-12,54.46
2017-03-13,51.24
2017-03-14,49.58
2017-03-15,48.55
2017-03-16,47.64
2017-03-17,47.08
2017-03-18,47.64
2017-03-19,47.75
2017-03-20,48.09
2017-03-21,47.87
2017-03-22,47.19
2017-03-23,46.64
2017-03-24,46.42
2017-03-25,47.75
2017-03-26,50.88
2017-03-27,51.24
2017-03-28,50.05
2017-03-29,60.24
2017-03-30,81.04
2017-03-31,87.31
2017-04-01,85.50
2017-04-02,82.75
2017-04-03,83.33
2017-04-04,84.90
2017-04-05,87.10
2017-04-06,86.10
2017-04-07,83.53
2017-04-08,81.79
2017-04-09,81.22
2017-04-10,80.66
2017-04-11,79.72
2017-04-12,78.43
2017-04-13,76.98
2017-04-14,75.74
2017-04-15,74.86
2017-04-16,74.16
2017-04-17,73.13
2017-04-18,72.62
2017-04-19,73.64
2017-04-20,76.80
2017-04-21,82.75
2017-04-22,198.53
2017-04-23,214.28
2017-04-24,206.97
2017-04-25,199.45
2017-04-26,186.50
2017-04-27,174.79
2017-04-28,165.34
2017-04-29,158.22
2017-04-30,153.17
2017-05-01,150.01
2017-05-02,146.57
2017-05-03,142.55
2017-05-04,138.96
2017-05-05,136.40
2017-05-06,134.52
2017-05-07,132.05
2017-05-08,129.02
2017-05-09,126.64
2017-05-10,124.31
2017-05-11,121.74
2017-05-12,119.50
2017-05-13,118.95
2017-05-14,120.34
2017-05-15,124.03
2017-05-16,126.06
2017-05-17,125.18
2017-05-18,124.03
2017-05-19,123.17
2017-05-20,122.31
2017-05-21,120.62
2017-05-22,118.95
2017-05-23,117.03
2017-05-24,115.41
2017-05-25,115.41
2017-05-26,115.68
2017-05-27,114.08
2017-05-28,111.46
2017-05-29,110.69
2017-05-30,124.89
2017-05-31,135.46
2017-06-01,142.88
2017-06-02,144.88
2017-06-03,148.28
2017-06-04,239.44
2017-06-05,245.60
2017-06-06,218.79
2017-06-07,198.99
2017-06-08,187.80
2017-06-09,182.23
2017-06-10,184.35
2017-06-11,189.55
2017-06-12,203.17
2017-06-13,218.28
2017-06-14,224.42
2017-06-15,221.33
2017-06-16,224.94
2017-06-17,229.67
2017-06-18,231.81
2017-06-19,231.81
2017-06-20,231.81
2017-06-21,232.88
2017-06-22,230.74
2017-06-23,228.61
2017-06-24,226.51
2017-06-25,224.42
2017-06-26,220.82
2017-06-27,217.78
2017-06-28,214.77
2017-06-29,213.29
2017-06-30,210.84
2017-07-01,210.35
2017-07-02,209.38
2017-07-03,210.84
2017-07-04,209.38
2017-07-05,206.49
2017-07-06,204.12
2017-07-07,200.84
2017-07-08,197.61
2017-07-09,194.88
2017-07-10,192.64
2017-07-11,191.31
2017-07-12,190.87
2017-07-13,189.55
2017-07-14,186.50
2017-07-15,184.78
2017-07-16,184.78
2017-07-17,183.50
2017-07-18,188.67
2017-07-19,200.37
2017-07-20,206.49
2017-07-21,204.59
2017-07-22,199.91
2017-07-23,204.59
2017-07-24,214.28
2017-07-25,221.84
2017-07-26,223.39
2017-07-27,221.33
2017-07-28,220.31
2017-07-29,219.29
2017-07-30,217.27
2017-07-31,215.77
2017-08-01,213.78
2017-08-02,211.81
2017-08-03,208.41
2017-08-04,206.01
2017-08-05,204.59
2017-08-06,202.24
2017-08-07,198.99
2017-08-08,196.70
2017-08-09,194.88
2017-08-10,195.79
2017-08-11,199.45
2017-08-12,204.59
2017-08-13,206.49
2017-08-14,206.01
2017-08-15,204.12
2017-08-16,200.37
2017-08-17,201.30
2017-08-18,201.77
2017-08-19,201.77
2017-08-20,201.77
2017-08-21,200.84
2017-08-22,202.70
2017-08-23,205.54
2017-08-24,205.06
2017-08-25,203.17
2017-08-26,203.17
2017-08-27,207.45
2017-08-28,206.97
2017-08-29,203.64
2017-08-30,203.64
2017-08-31,204.59
2017-09-01,204.59
2017-09-02,202.70
2017-09-03,202.70
2017-09-04,200.84
2017-09-05,198.53
2017-09-06,197.15
2017-09-07,195.79
2017-09-08,195.34
2017-09-09,194.88
2017-09-10,194.88
2017-09-11,193.09
2017-09-12,189.99
2017-09-13,186.93
2017-09-14,183.93
2017-09-15,180.13
2017-09-16,178.47
2017-09-17,179.72
2017-09-18,185.64
2017-09-19,190.43
2017-09-20,192.20
2017-09-21,191.31
2017-09-22,187.80
2017-09-23,184.78
2017-09-24,183.50
2017-09-25,180.97
2017-09-26,178.89
2017-09-27,178.47
2017-09-28,184.35
2017-09-29,186.93
2017-09-30,186.50
2017-10-01,186.50
2017-10-02,184.35
2017-10-03,180.55
2017-10-04,176.83
2017-10-05,174.79
2017-10-06,175.20
2017-10-07,175.20
2017-10-08,172.78
2017-10-09,169.61
2017-10-10,166.11
2017-10-11,163.06
2017-10-12,161.18
2017-10-13,160.44
2017-10-14,158.59
2017-10-15,155.68
2017-10-16,152.46
2017-10-17,150.01
2017-10-18,157.85
2017-10-19,161.93
2017-10-20,168.82
2017-10-21,198.99
2017-10-22,211.81
2017-10-23,208.89
2017-10-24,199.91
2017-10-25,193.54
2017-10-26,187.80
2017-10-27,183.08
2017-10-28,178.47
2017-10-29,175.20
2017-10-30,173.58
2017-10-31,172.38
2017-11-01,169.61
2017-11-02,166.11
2017-11-03,162.68
2017-11-04,159.32
2017-11-05,156.04
2017-11-06,152.82
2017-11-07,150.01
2017-11-08,147.25
2017-11-09,144.21
2017-11-10,141.56
2017-11-11,138.96
2017-11-12,136.40
2017-11-13,133.90
2017-11-14,131.43
2017-11-15,129.02
2017-11-16,127.23
2017-11-17,126.06
2017-11-18,124.60
2017-11-19,122.88
2017-11-20,120.90
2017-11-21,118.67
2017-11-22,116.49
2017-11-23,114.61
2017-11-24,112.50
2017-11-25,110.69
2017-11-26,108.90
2017-11-27,106.89
2017-11-28,105.17
2017-11-29,103.47
2017-11-30,101.80
2017-12-01,100.16
2017-12-02,98.54
2017-12-03,96.95
2017-12-04,95.38
2017-12-05,93.84
2017-12-06,92.54
2017-12-07,91.04
2017-12-08,89.99
2017-12-09,92.97
2017-12-10,106.65
2017-12-11,112.24
2017-12-12,110.69
2017-12-13,107.14
2017-12-14,103.71
2017-12-15,100.86
2017-12-16,98.54
2017-12-17,96.72
2017-12-18,94.94
2017-12-19,93.19
2017-12-20,91.68
2017-12-21,90.20
2017-12-22,88.74
2017-12-23,87.31
2017-12-24,86.10
2017-12-25,84.70
2017-12-26,83.53
2017-12-27,82.37
2017-12-28,81.22
2017-12-29,80.10
2017-12-30,78.98
2017-12-31,77.89
2018-01-01,76.80
2018-01-02,77.70
2018-01-03,78.07
2018-01-04,77.70
2018-01-05,76.62
2018-01-06,75.38
2018-01-07,74.16
2018-01-08,73.13
2018-01-09,72.11
2018-01-10,71.11
2018-01-11,70.12
2018-01-12,69.31
2018-01-13,68.50
2018-01-14,67.71
2018-01-15,67.08
2018-01-16,66.45
2018-01-17,65.83
2018-01-18,65.22
2018-01-19,64.61
2018-01-20,64.01
2018-01-21,63.42
2018-01-22,62.97
2018-01-23,62.53
2018-01-24,62.10
2018-01-25,61.66
2018-01-26,61.23
2018-01-27,60.80
2018-01-28,60.38
2018-01-29,59.95
2018-01-30,59.67
2018-01-31,59.39
2018-02-01,59.12
2018-02-02,58.84
2018-02-03,58.57
2018-02-04,58.29
2018-02-05,57.88
2018-02-06,57.61
2018-02-07,57.08
2018-02-08,56.54
2018-02-09,56.28
2018-02-10,56.02
2018-02-11,55.62
2018-02-12,55.36
2018-02-13,55.10
2018-02-14,54.85
2018-02-15,54.72
2018-02-16,54.46
2018-02-17,54.08
2018-02-18,53.95
2018-02-19,53.70
2018-02-20,53.45
2018-02-21,53.20
2018-02-22,52.33
2018-02-23,51.72
2018-02-24,51.48
2018-02-25,51.24
2018-02-26,51.36
2018-02-27,51.48
2018-02-28,51.36
2018-03-01,51.24
2018-03-02,51.00
2018-03-03,50.76
2018-03-04,50.52
2018-03-05,50.29
2018-03-06,50.17
2018-03-07,50.05
2018-03-08,49.82
2018-03-09,49.70
2018-03-10,48.89
2018-03-11,48.43
2018-03-12,48.20
2018-03-13,48.20
2018-03-14,48.77
2018-03-15,50.05
2018-03-16,55.89
2018-03-17,61.95
2018-03-18,59.95
2018-03-19,56.28
2018-03-20,54.08
2018-03-21,52.83
2018-03-22,51.84
2018-03-23,51.24
2018-03-24,50.76
2018-03-25,50.40
2018-03-26,51.84
2018-03-27,52.46
2018-03-28,52.09
2018-03-29,51.72
2018-03-30,51.72
2018-03-31,51.48
2018-04-01,51.12
2018-04-02,50.76
2018-04-03,50.52
2018-04-04,50.17
2018-04-05,50.64
2018-04-06,51.00
2018-04-07,50.76
2018-04-08,51.97
2018-04-09,52.21
2018-04-10,51.60
2018-04-11,52.09
2018-04-12,53.33
2018-04-13,54.21
2018-04-14,53.95
2018-04-15,53.33
2018-04-16,52.58
2018-04-17,54.08
2018-04-18,58.16
2018-04-19,62.24
2018-04-20,65.22
2018-04-21,65.99
2018-04-22,65.37
2018-04-23,63.86
2018-04-24,62.10
2018-04-25,60.80
2018-04-26,59.81
2018-04-27,59.12
2018-04-28,59.53
2018-04-29,60.66
2018-04-30,60.52
2018-05-01,61.09
2018-05-02,63.42
2018-05-03,65.07
2018-05-04,69.79
2018-05-05,80.10
2018-05-06,91.68
2018-05-07,96.95
2018-05-08,97.86
2018-05-09,97.17
2018-05-10,96.27
2018-05-11,96.50
2018-05-12,95.61
2018-05-13,94.06
2018-05-14,93.41
2018-05-15,93.84
2018-05-16,94.50
2018-05-17,97.17
2018-05-18,99.93
2018-05-19,101.57
2018-05-20,102.28
2018-05-21,104.93
2018-05-22,106.89
2018-05-23,108.90
2018-05-24,110.43
2018-05-25,111.98
2018-05-26,111.98
2018-05-27,110.17
2018-05-28,107.64
2018-05-29,105.17
