latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
24.700005,92.45001,NaN,0,GMT,GMT

time,river_discharge (m³/s)
2016-07-03,11.11
2016-07-04,11.30
2016-07-05,11.56
2016-07-06,11.65
2016-07-07,11.62
2016-07-08,11.85
2016-07-09,12.18
2016-07-10,12.24
2016-07-11,12.09
2016-07-12,11.85
2016-07-13,11.65
2016-07-14,11.45
2016-07-15,11.25
2016-07-16,11.13
2016-07-17,11.11
2016-07-18,11.08
2016-07-19,11.05
2016-07-20,10.99
2016-07-21,10.89
2016-07-22,10.75
2016-07-23,10.67
2016-07-24,10.69
2016-07-25,10.72
2016-07-26,10.61
2016-07-27,10.46
2016-07-28,10.27
2016-07-29,10.12
2016-07-30,9.99
2016-07-31,9.84
2016-08-01,9.67
2016-08-02,9.50
2016-08-03,9.30
2016-08-04,9.21
2016-08-05,9.23
2016-08-06,9.23
2016-08-07,9.21
2016-08-08,9.21
2016-08-09,9.16
2016-08-10,9.07
2016-08-11,8.98
2016-08-12,8.89
2016-08-13,8.77
2016-08-14,8.73
2016-08-15,8.73
2016-08-16,8.68
2016-08-17,8.57
2016-08-18,8.44
2016-08-19,8.31
2016-08-20,8.18
2016-08-21,8.10
2016-08-22,8.04
2016-08-23,7.91
2016-08-24,7.75
2016-08-25,7.69
2016-08-26,7.71
2016-08-27,7.69
2016-08-28,7.63
2016-08-29,7.53
2016-08-30,7.49
2016-08-31,7.49
2016-09-01,7.53
2016-09-02,7.59
2016-09-03,7.59
2016-09-04,7.53
2016-09-05,7.49
2016-09-06,7.45
2016-09-07,7.41
2016-09-08,7.36
2016-09-09,7.24
2016-09-10,7.15
2016-09-11,7.05
2016-09-12,7.05
2016-09-13,7.15
2016-09-14,7.28
2016-09-15,7.34
2016-09-16,7.34
2016-09-17,7.36
2016-09-18,7.36
2016-09-19,7.39
2016-09-20,7.45
2016-09-21,7.55
2016-09-22,7.65
2016-09-23,7.69
2016-09-24,7.69
2016-09-25,7.69
2016-09-26,7.69
2016-09-27,7.65
2016-09-28,7.63
2016-09-29,7.63
2016-09-30,7.59
2016-10-01,7.51
2016-10-02,7.41
2016-10-03,7.36
2016-10-04,7.30
2016-10-05,7.30
2016-10-06,7.34
2016-10-07,7.41
2016-10-08,7.49
2016-10-09,7.51
2016-10-10,7.47
2016-10-11,7.38
2016-10-12,7.36
2016-10-13,7.39
2016-10-14,7.36
2016-10-15,7.22
2016-10-16,7.09
2016-10-17,6.94
2016-10-18,6.80
2016-10-19,6.67
2016-10-20,6.55
2016-10-21,6.43
2016-10-22,6.31
2016-10-23,6.21
2016-10-24,6.10
2016-10-25,6.00
2016-10-26,5.92
2016-10-27,5.87
2016-10-28,5.82
2016-10-29,5.76
2016-10-30,5.68
2016-10-31,5.61
2016-11-01,5.50
2016-11-02,5.43
2016-11-03,5.35
2016-11-04,5.35
2016-11-05,5.41
2016-11-06,6.45
2016-11-07,7.15
2016-11-08,7.07
2016-11-09,6.74
2016-11-10,6.45
2016-11-11,6.21
2016-11-12,6.03
2016-11-13,5.87
2016-11-14,5.73
2016-11-15,5.61
2016-11-16,5.50
2016-11-17,5.40
2016-11-18,5.30
2016-11-19,5.21
2016-11-20,5.11
2016-11-21,5.03
2016-11-22,4.96
2016-11-23,4.87
2016-11-24,4.79
2016-11-25,4.71
2016-11-26,4.66
2016-11-27,4.57
2016-11-28,4.52
2016-11-29,4.46
2016-11-30,4.40
2016-12-01,4.33
2016-12-02,4.26
2016-12-03,4.20
2016-12-04,4.15
2016-12-05,4.09
2016-12-06,4.05
2016-12-07,3.99
2016-12-08,3.94
2016-12-09,3.89
2016-12-10,3.84
2016-12-11,3.80
2016-12-12,3.75
2016-12-13,3.70
2016-12-14,3.66
2016-12-15,3.62
2016-12-16,3.58
2016-12-17,3.53
2016-12-18,3.50
2016-12-19,3.47
2016-12-20,3.43
2016-12-21,3.40
2016-12-22,3.36
2016-12-23,3.32
2016-12-24,3.29
2016-12-25,3.25
2016-12-26,3.22
2016-12-27,3.19
2016-12-28,3.16
2016-12-29,3.12
2016-12-30,3.09
2016-12-31,3.06
2017-01-01,3.05
2017-01-02,3.02
2017-01-03,2.98
2017-01-04,2.95
2017-01-05,2.92
2017-01-06,2.91
2017-01-07,2.87
2017-01-08,2.86
2017-01-09,2.83
2017-01-10,2.79
2017-01-11,2.78
2017-01-12,2.75
2017-01-13,2.72
2017-01-14,2.69
2017-01-15,2.69
2017-01-16,2.66
2017-01-17,2.66
2017-01-18,2.62
2017-01-19,2.60
2017-01-20,2.60
2017-01-21,2.56
2017-01-22,2.56
2017-01-23,2.53
2017-01-24,2.53
2017-01-25,2.50
2017-01-26,2.47
2017-01-27,2.47
2017-01-28,2.47
2017-01-29,2.44
2017-01-30,2.44
2017-01-31,2.40
2017-02-01,2.40
2017-02-02,2.40
2017-02-03,2.37
2017-02-04,2.37
2017-02-05,2.37
2017-02-06,2.34
2017-02-07,2.31
2017-02-08,2.28
2017-02-09,2.25
2017-02-10,2.25
2017-02-11,2.22
2017-02-12,2.22
2017-02-13,2.22
2017-02-14,2.18
2017-02-15,2.18
2017-02-16,2.18
2017-02-17,2.16
2017-02-18,2.16
2017-02-19,2.16
2017-02-20,2.16
2017-02-21,2.18
2017-02-22,2.16
2017-02-23,2.16
2017-02-24,2.16
2017-02-25,2.13
2017-02-26,2.09
2017-02-27,2.09
2017-02-28,2.06
2017-03-01,2.06
2017-03-02,2.03
2017-03-03,2.03
2017-03-04,2.03
2017-03-05,2.06
2017-03-06,2.09
2017-03-07,2.09
2017-03-08,2.06
2017-03-09,2.06
2017-03-10,2.06
2017-03-11,2.22
2017-03-12,2.34
2017-03-13,2.31
2017-03-14,2.25
2017-03-15,2.22
2017-03-16,2.16
